V,E,k,floyd_ms,dijkstra_ms,valid
150,2235,10,90.4452,2.26587,yes
150,2235,20,90.4807,4.43227,yes
150,2235,30,85.3551,6.79779,yes
150,2235,40,82.7038,8.90465,yes
150,2235,50,86.9853,11.1011,yes
150,2235,70,85.6817,15.434,yes
150,2235,90,85.0781,20.2721,yes
150,2235,110,85.9828,23.8393,yes
150,2235,130,85.3721,27.6877,yes
150,2235,150,85.5073,32.5131,yes
150,6705,10,96.4805,3.58254,yes
150,6705,20,97.4886,7.38941,yes
150,6705,30,92.673,10.0723,yes
150,6705,40,93.4592,13.2958,yes
150,6705,50,97.0827,17.4382,yes
150,6705,70,94.1504,23.0248,yes
150,6705,90,92.5145,29.5591,yes
150,6705,110,92.1005,36.3405,yes
150,6705,130,95.6598,43.0125,yes
150,6705,150,96.0509,51.374,yes
150,11175,10,95.6458,4.81499,yes
150,11175,20,95.9492,9.09555,yes
150,11175,30,100.045,13.8542,yes
150,11175,40,93.4148,17.5895,yes
150,11175,50,96.9924,22.1545,yes
150,11175,70,93.0059,31.4648,yes
150,11175,90,92.9523,39.293,yes
150,11175,110,93.0879,48.346,yes
150,11175,130,92.4991,57.1442,yes
150,11175,150,97.727,66.2896,yes
150,15644,10,93.0587,5.21162,yes
150,15644,20,95.0892,11.1102,yes
150,15644,30,97.8537,17.3418,yes
150,15644,40,98.2547,21.6026,yes
150,15644,50,95.5465,27.2869,yes
150,15644,70,97.8793,37.5871,yes
150,15644,90,95.8266,47.7848,yes
150,15644,110,94.1695,61.1133,yes
150,15644,130,98.6556,71.5469,yes
150,15644,150,96.3955,89.4592,yes
150,20115,10,95.8391,6.1978,yes
150,20115,20,95.9656,12.7826,yes
150,20115,30,94.077,19.578,yes
150,20115,40,95.8829,25.8489,yes
150,20115,50,95.2827,31.8256,yes
150,20115,70,94.634,45.2091,yes
150,20115,90,94.4373,58.4246,yes
150,20115,110,94.1628,70.3784,yes
150,20115,130,96.8854,81.8914,yes
150,20115,150,93.772,99.006,yes
